time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
5,0,0,4.1517572967190208,4.3805246901591133,4.1517572967536349,4.3805246903525816,-7.492967394800969,-8.172525912040502,-7.4929673924497093,-8.1725259085968371,-2.3512596314390066e-09,-3.443664908786559e-09,-3.4614089372553281e-11,-1.9346835244959948e-10
5.5,0,0,4.0303983141642616,4.2898678820769467,4.0303983142507018,4.2898678823236001,-7.2619137706616899,-7.9633987781786928,-7.2619137677622261,-7.9633987742995922,-2.899463780181577e-09,-3.8791005962934832e-09,-8.6440188340475288e-11,-2.4665336439966268e-10
6,0,0,3.9114152047779154,4.2010203466549116,3.9114152049279678,4.2010203469616085,-7.0270520020089453,-7.7498975328240949,-7.0270519987385427,-7.7498975286919558,-3.2704026153851373e-09,-4.1321390753523701e-09,-1.5005241493781796e-10,-3.0669689010665024e-10
6.5,0,0,3.7949901564356567,4.1141030738959747,3.7949901566574078,4.1141030742667306,-6.7926404897174146,-7.5364412348796224,-6.7926404860927736,-7.5364412303713024,-3.6246410317630762e-09,-4.5083199395890006e-09,-2.2175106195732042e-10,-3.7075587044910208e-10
7,0,0,3.6812136368608517,4.029166366730105,3.6812136371620361,4.0291663671708839,-6.561201190628946,-7.3256337351948142,-6.561201186568308,-7.3256337303039132,-4.0606380480312509e-09,-4.8909010175179901e-09,-3.0118441074478142e-10,-4.4077896887984025e-10
7.5,0,0,3.5701202939011543,3.9462182345897654,3.5701202942912134,3.9462182351066426,-6.3342003998064067,-7.1189763849676853,-6.3342003955967803,-7.118976379814689,-4.2096264252222682e-09,-5.1529962519225592e-09,-3.9005909613365475e-10,-5.1687720770132728e-10
8,0,0,3.4617108349494901,3.8652416558841467,3.4617108354318997,3.8652416564813068,-6.1124631434140451,-6.9173019240273232,-6.1124631389873754,-6.9173019186616758,-4.4266696974659681e-09,-5.365647481880842e-09,-4.8240966776802452e-10,-5.9716009914723145e-10
8.5,0,0,3.3559653699145149,3.7862050635852564,3.3559653704941694,3.7862050642661016,-5.8964254186868477,-6.7210385941873989,-5.8964254140622243,-6.7210385885594359,-4.6246233509350532e-09,-5.6279629845334966e-09,-5.7965454658415183e-10,-6.8084515802979695e-10
9,0,0,3.2528515561760498,3.7090687052461688,3.2528515568574439,3.7090687060148784,-5.6862877297507195,-6.5303708768707276,-5.6862877249622876,-6.530370871021459,-4.7884318732371867e-09,-5.8492686250133374e-09,-6.8139405229317163e-10,-7.6870954046626139e-10
9.5,0,0,3.1523295777187892,3.6337884918496033,3.1523295785057104,3.6337884927097055,-5.4821085406240071,-6.3453372864095279,-5.4821085357113972,-6.3453372804524566,-4.9126098744523006e-09,-5.9570712807044401e-09,-7.8692119487300261e-10,-8.6010221167498457e-10
10,0,0,3.0543551955315666,3.5603183184850535,3.054355196426966,3.5603183194382897,-5.2838611542951313,-6.1658898382387042,-5.2838611494230259,-6.1658898322437432,-4.8721053858002961e-09,-5.9949609720888475e-09,-8.9539931025228725e-10,-9.5323615667552986e-10
10.5,0,0,2.9588816223786738,3.4886114553828333,2.9588816233820583,3.4886114564298358,-5.0914683278414534,-5.9919301829178933,-5.0914683227881987,-5.9919301768665694,-5.0532547035686548e-09,-6.0513238864245977e-09,-1.0033844866086383e-09,-1.0470024847109016e-09
11,0,0,2.8658606804488911,3.4186213737239739,2.865860681564353,3.4186213748656615,-4.9048233341690661,-5.8233315341115617,-4.9048233289503251,-5.8233315280311437,-5.2187409949056018e-09,-6.0804179469187147e-09,-1.1154619450337577e-09,-1.1416876333214532e-09
11.5,0,0,2.7752435210615016,3.3503022280927084,2.7752435222927612,3.3503022293295808,-4.7238027726064846,-5.6599519487056789,-4.7238027674044298,-5.659951942601877,-5.2020547869346956e-09,-6.1038019083525796e-09,-1.2312595387697911e-09,-1.236872382293086e-09
12,0,0,2.6869810764491691,3.2836091306369983,2.6869810777961232,3.2836091319694636,-4.5482743559215004,-5.5016423434438835,-4.548274350664717,-5.5016423371822167,-5.2567834529781976e-09,-6.2616667406700799e-09,-1.3469541038091393e-09,-1.3324652492485711e-09
12.5,0,0,2.6010243471885506,3.2184982991489943,2.6010243486525759,3.2184983005795567,-4.3781016384785847,-5.3482513088107178,-4.3781016333780984,-5.3482513026981966,-5.1004862555714681e-09,-6.1125211558987758e-09,-1.4640253453990226e-09,-1.4305623352584007e-09
13,0,0,2.5173245883982132,3.1549271290951233,2.5173245899762784,3.1549271306214495,-4.2131468815514799,-5.1996279748977141,-4.2131468764768831,-5.1996279686777376,-5.0745967428156291e-09,-6.2199765338277757e-09,-1.5780652340424695e-09,-1.5263261765596781e-09
13.5,0,0,2.4358334331969869,3.0928542200304374,2.4358334348887576,3.0928542216542056,-4.0532727838914315,-5.0556236932095455,-4.0532727786320413,-5.0556236869591453,-5.2593902566400175e-09,-6.2504001974161838e-09,-1.6917707235108992e-09,-1.6237682309849788e-09
14,0,0,2.356502976922076,3.0322393749012839,2.3565029787315841,3.0322393766229574,-3.8983435208271215,-4.9160929995270353,-3.8983435155923529,-4.9160929932070871,-5.2347686185783004e-09,-6.3199481203923824e-09,-1.8095080989155576e-09,-1.7216734704561532e-09
14.5,0,0,2.2792858364760251,2.9730435834767817,2.2792858384029171,2.9730435852974351,-3.7482253617950194,-4.7808941409774937,-3.7482253567769912,-4.7808941348371299,-5.0180282151757183e-09,-6.1403637729995353e-09,-1.9268919793091754e-09,-1.8206534058151647e-09
15,0,0,2.2041351936106115,2.9152289967278096,2.2041351956505184,2.915228998644587,-3.6027870306593615,-4.6498893396627983,-3.6027870256713888,-4.6498893335500497,-4.9879727015422759e-09,-6.112748529574219e-09,-2.0399069100562883e-09,-1.9167774034656304e-09
15.5,0,0,2.13100482756753,2.8587588962807731,2.1310048297199398,2.8587588982931895,-3.4618999089346412,-4.5229448977299009,-3.4618999041109264,-4.5229448919575983,-4.8237147609597741e-09,-5.7723026358758034e-09,-2.1524098059444441e-09,-2.0124164556989399e-09
