time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
18,0,0,1.794084049015112,2.5953654852535717,1.7940840490128747,2.5953654852485428,-2.8214261209527631,-3.9447316253527713,-2.8214261209571672,-3.9447316253624969,4.404032694083071e-12,9.7255536957163713e-12,2.2373214392246155e-12,5.0288662123421091e-12
18.5,0,0,1.7321408030277199,2.5462503215240129,1.7321408030253462,2.5462503215188526,-2.7053017900478058,-3.8395660938100349,-2.7053017900526144,-3.8395660938201277,4.808597964256478e-12,1.0092815472262373e-11,2.3736568266485847e-12,5.1603166184577276e-12
19,0,0,1.6719126264679081,2.4982514702113869,1.6719126264653896,2.498251470206089,-2.5929065604412029,-3.7376354029623418,-2.592906560446171,-3.7376354029726766,4.9680259905926505e-12,1.0334844091630657e-11,2.5184299090597051e-12,5.297984273511247e-12
19.5,0,0,1.6133586752146185,2.4513400674230756,1.6133586752119518,2.4513400674176369,-2.4841339762623638,-3.6388362259310232,-2.4841339762668593,-3.6388362259414957,4.4955150713121839e-12,1.0472511746684177e-11,2.666755705149626e-12,5.4387605530337169e-12
20,0,0,1.5564388134879841,2.4054880915398367,1.5564388134851788,2.4054880915342558,-2.3788802154052822,-3.5430685616808462,-2.3788802154100579,-3.5430685616917712,4.7757353627275734e-12,1.092503865152139e-11,2.8053115386228455e-12,5.5808691001857369e-12
20.5,0,0,1.5011136164710959,2.3606683354726044,1.5011136164681462,2.3606683354668738,-2.2770440442420496,-3.450235629171571,-2.2770440442473263,-3.4502356291824028,5.276667991438444e-12,1.0831779917452877e-11,2.9496405318241159e-12,5.730527163905208e-12
21,0,0,1.4473443717403498,2.3168543799147692,1.4473443717372452,2.3168543799088908,-2.1785267714605459,-3.3602437642967771,-2.1785267714662924,-3.3602437643071554,5.7465143754598103e-12,1.0378364834195963e-11,3.1046276660617877e-12,5.8784088707852789e-12
21.5,0,0,1.3950930796014605,2.2740205675601652,1.3950930795981913,2.2740205675541465,-2.0832322013688302,-3.2730023197698772,-2.0832322013743454,-3.2730023197807769,5.5151438971279276e-12,1.0899725566559937e-11,3.2691627183112359e-12,6.0187410610978986e-12
22,0,0,1.3443224524182107,2.232141978254409,1.3443224524147819,2.2321419782482423,-1.9910665869014741,-3.1884235680142026,-1.991066586907299,-3.1884235680248896,5.8248961209983463e-12,1.0687006835041757e-11,3.4288127892523335e-12,6.1666227679779695e-12
22.5,0,0,1.2949959130133082,2.1911944050462622,1.2949959130097133,2.1911944050399512,-1.9019385824957307,-3.1064226070525125,-1.9019385825013049,-3.1064226070628771,5.574207762037986e-12,1.0364598068690611e-11,3.5949021537362569e-12,6.3109517611792398e-12
23,0,0,1.2470775922145181,2.1511543311056696,1.2470775922107626,2.1511543310992192,-1.8157591969625277,-3.0269172693552222,-1.8157591969680711,-3.0269172693657738,5.5433435619534066e-12,1.0551559626037488e-11,3.7554404030970545e-12,6.4503957730721595e-12
23.5,0,0,1.2005323256140286,2.1119989074756353,1.2005323256101135,2.1119989074690428,-1.7324417464493103,-2.9498280335857956,-1.7324417464547961,-2.9498280335958427,5.4858340092778235e-12,1.0047074283647817e-11,3.915090474038152e-12,6.5925043202241795e-12
24,0,0,1.155325649604465,2.0737059316259518,1.1553256496003914,2.0737059316192257,-1.6519018075730587,-2.875077939170319,-1.651901807577701,-2.8750779391796781,4.6422865551676296e-12,9.3591800975900696e-12,4.0736303219546244e-12,6.7261751723890484e-12
24.5,0,0,1.1114237967509124,2.0362538267777817,1.1114237967466984,2.0362538267709325,-1.5740571707887969,-2.8025925036124431,-1.5740571707934772,-2.8025925036222699,4.6802561826098099e-12,9.8268060355621856e-12,4.2139625122672442e-12,6.8491878835175157e-12
25,0,0,1.0687936905546129,1.9996216219692051,1.068793690550258,1.999621621962226,-1.4988277940494759,-2.7322996424724266,-1.4988277940546082,-2.7322996424823889,5.1323389982371737e-12,9.9622532445664547e-12,4.354960836394639e-12,6.979083977398659e-12
