time,reference[0],output_ideal[0],output_secure[0],control_ideal[0],control_secure[0],control_error[0],output_error[0]
4.1000000000000005,0,0.16985673910452539,0.16985673911985025,0.62798066643675754,0.62798066643545247,1.3050671654468715e-12,-1.5324852498110886e-11
4.2000000000000002,0,0.25498060066738104,0.25498060068125683,0.50202544833304064,0.50202544833008134,2.9592994721383548e-12,-1.3875789406370131e-11
4.2999999999999998,0,0.31545678830840801,0.31545678832090673,0.39315666472401034,0.39315666471764416,6.3661853566543414e-12,-1.2498724277776319e-11
4.4000000000000004,0,0.35546134756910552,0.35546134758024939,0.29995513666249796,0.29995513666072787,1.7700840793111183e-12,-1.1143863609675009e-11
4.5,0,0.37868818685279165,0.37868818686259603,0.2209735214957671,0.22097352148957594,6.1911586968221854e-12,-9.8043795304647574e-12
4.6000000000000005,0,0.38837541371837753,0.38837541372695095,0.15477451388962704,0.15477451388595737,3.6696756744447612e-12,-8.5734197519116151e-12
4.7000000000000002,0,0.3873358324168007,0.38733583242419029,0.099960286948795662,0.099960286942765084,6.0305788140979644e-12,-7.3895889407538107e-12
4.8000000000000007,0,0.37799000025302409,0.37799000025931717,0.055194482419983482,0.055194482417302911,2.6805710429123053e-12,-6.2930771704827748e-12
4.9000000000000004,0,0.36240054211842587,0.36240054212369699,0.019217930633225633,0.019217930630290495,2.9351382435649498e-12,-5.2711168763153182e-12
5,0,0.34230668552321725,0.3423066855276099,-0.0091408448369127981,-0.0091408448413774993,4.4647011782084078e-12,-4.3926529080806631e-12
