time,reference[0],reference[1],output_ideal[0],output_ideal[1],output_secure[0],output_secure[1],control_ideal[0],control_ideal[1],control_secure[0],control_secure[1],control_error[0],control_error[1],output_error[0],output_error[1]
5.5,0,0,4.0303983141642616,4.2898678820769467,4.0303983141642599,4.2898678820769449,-7.2619137706616899,-7.9633987781786928,-7.2619137706616881,-7.963398778178731,-1.7763568394002505e-15,3.8191672047105385e-14,1.7763568394002505e-15,1.7763568394002505e-15
6,0,0,3.9114152047779154,4.2010203466549116,3.9114152047779136,4.201020346654909,-7.0270520020089453,-7.7498975328240949,-7.0270520020089435,-7.749897532824134,-1.7763568394002505e-15,3.907985046680551e-14,1.7763568394002505e-15,2.6645352591003757e-15
6.5,0,0,3.7949901564356567,4.1141030738959747,3.7949901564356554,4.1141030738959712,-6.7926404897174146,-7.5364412348796224,-6.7926404897174146,-7.5364412348796632,0,4.0856207306205761e-14,1.3322676295501878e-15,3.5527136788005009e-15
7,0,0,3.6812136368608517,4.029166366730105,3.6812136368608508,4.0291663667301014,-6.561201190628946,-7.3256337351948142,-6.5612011906289478,-7.3256337351948568,1.7763568394002505e-15,4.2632564145606011e-14,8.8817841970012523e-16,3.5527136788005009e-15
7.5,0,0,3.5701202939011543,3.9462182345897654,3.5701202939011529,3.946218234589761,-6.3342003998064067,-7.1189763849676853,-6.3342003998064111,-7.1189763849677323,4.4408920985006262e-15,4.7073456244106637e-14,1.3322676295501878e-15,4.4408920985006262e-15
8,0,0,3.4617108349494901,3.8652416558841467,3.4617108349494887,3.8652416558841414,-6.1124631434140451,-6.9173019240273232,-6.1124631434140495,-6.9173019240273694,4.4408920985006262e-15,4.6185277824406512e-14,1.3322676295501878e-15,5.3290705182007514e-15
8.5,0,0,3.3559653699145149,3.7862050635852564,3.3559653699145136,3.7862050635852502,-5.8964254186868477,-6.7210385941873989,-5.896425418686853,-6.7210385941874433,5.3290705182007514e-15,4.4408920985006262e-14,1.3322676295501878e-15,6.2172489379008766e-15
9,0,0,3.2528515561760498,3.7090687052461688,3.252851556176048,3.7090687052461617,-5.6862877297507195,-6.5303708768707276,-5.6862877297507266,-6.5303708768707711,7.1054273576010019e-15,4.3520742565306136e-14,1.7763568394002505e-15,7.1054273576010019e-15
9.5,0,0,3.1523295777187892,3.6337884918496033,3.1523295777187874,3.6337884918495957,-5.4821085406240071,-6.3453372864095279,-5.4821085406240151,-6.3453372864095723,7.9936057773011271e-15,4.4408920985006262e-14,1.7763568394002505e-15,7.5495165674510645e-15
10,0,0,3.0543551955315666,3.5603183184850535,3.0543551955315644,3.5603183184850451,-5.2838611542951313,-6.1658898382387042,-5.2838611542951437,-6.1658898382387513,1.2434497875801753e-14,4.7073456244106637e-14,2.2204460492503131e-15,8.4376949871511897e-15
10.5,0,0,2.9588816223786738,3.4886114553828333,2.9588816223786716,3.488611455382824,-5.0914683278414534,-5.9919301829178933,-5.0914683278414641,-5.9919301829179394,1.0658141036401503e-14,4.6185277824406512e-14,2.2204460492503131e-15,9.3258734068513149e-15
11,0,0,2.8658606804488911,3.4186213737239739,2.8658606804488884,3.4186213737239637,-4.9048233341690661,-5.8233315341115617,-4.9048233341690803,-5.8233315341116079,1.4210854715202004e-14,4.6185277824406512e-14,2.6645352591003757e-15,1.021405182655144e-14
11.5,0,0,2.7752435210615016,3.3503022280927084,2.7752435210614985,3.3503022280926973,-4.7238027726064846,-5.6599519487056789,-4.7238027726064997,-5.659951948705725,1.5099033134902129e-14,4.6185277824406512e-14,3.1086244689504383e-15,1.1102230246251565e-14
12,0,0,2.6869810764491691,3.2836091306369983,2.6869810764491655,3.2836091306369863,-4.5482743559215004,-5.5016423434438835,-4.5482743559215182,-5.5016423434439305,1.7763568394002505e-14,4.7073456244106637e-14,3.5527136788005009e-15,1.1990408665951691e-14
12.5,0,0,2.6010243471885506,3.2184982991489943,2.6010243471885466,3.2184982991489814,-4.3781016384785847,-5.3482513088107178,-4.3781016384785998,-5.3482513088107622,1.5099033134902129e-14,4.4408920985006262e-14,3.9968028886505635e-15,1.2878587085651816e-14
